#{"t_start": 1780397757.3121378, "env_id": "None"}
r,l,t
-186.71744,2000,9.661948
-205.35825,2000,18.54055
-187.42714,2000,27.235155
-180.32607,2000,36.586648
-197.5419,2000,46.366129
-142.70802,2000,56.151091
-146.47131,2000,66.551378
-196.47609,2000,76.402015
-203.12715,2000,86.181032
-170.79337,2000,95.996591
-187.44345,2000,104.751168
-161.53084,2000,114.341464
-172.33253,2000,123.941762
-180.62363,2000,133.574953
-169.97078,2000,143.172437
-157.16455,2000,152.596661
-182.71286,2000,162.039086
-199.30716,2000,171.36464
-182.04218,2000,180.6771
-146.55159,2000,190.160625
-178.39009,2000,199.558789
-154.29974,2000,208.229719
-185.56546,2000,217.74814
-190.90843,2000,227.333137
-164.35188,2000,236.915536
-179.2056,2000,246.689229
-177.30876,2000,256.655565
-196.96346,2000,266.313516
-152.90195,2000,275.705595
-148.27525,2000,285.066736
-124.36968,2000,294.64925
-176.23738,2000,303.223853
-182.77652,2000,313.713208
-188.72777,2000,323.761856
-156.88351,2000,334.304937
-162.62897,2000,345.78516
-119.07027,2000,358.158327
-245.83066,2000,370.713829
-215.6084,2000,383.258479
-164.60591,2000,396.200315
-194.59134,2000,410.271066
-134.55534,2000,423.867667
-125.07316,2000,436.555893
-128.40413,2000,450.560444
-151.18576,2000,464.813354
-195.33305,2000,479.239628
-161.64091,2000,491.311973
-175.09059,2000,503.207681
-200.56477,2000,514.81558
-122.59346,2000,527.538441
