#{"t_start": 1780400755.5756967, "env_id": "None"}
r,l,t
-1494.9548,2000,10.091555
-1449.6968,2000,19.158982
-1594.4331,2000,27.977512
-1327.7637,2000,36.818869
-1516.7877,2000,45.660664
-1504.5027,2000,55.648754
-1391.7549,2000,65.739408
-1472.0538,2000,75.951276
-1602.1713,2000,85.957304
-1348.5697,2000,96.958658
-1548.7468,2000,106.065583
-1556.3318,2000,116.198449
-1578.5209,2000,126.457325
-1511.1313,2000,136.360348
-1744.5903,2000,146.370465
-1793.9402,2000,156.186286
-1621.5702,2000,166.215321
-1377.8079,2000,175.957772
-1704.6056,2000,185.661687
-1811.67,2000,195.582298
-1395.5419,2000,205.248886
-1513.167,2000,214.233871
-1456.3817,2000,223.959868
-1522.0466,2000,234.021081
-1574.0436,2000,243.844033
-1550.6086,2000,253.710446
-1574.2578,2000,263.468962
-1701.5226,2000,273.419227
-1287.7401,2000,283.235704
-1492.0641,2000,293.101445
-1685.6005,2000,303.070685
-1409.8442,2000,311.748978
-1268.2506,2000,321.364201
-1736.8721,2000,330.945915
-1456.8766,2000,340.762606
-1731.9724,2000,350.438026
-1778.0957,2000,360.195957
-1445.5557,2000,370.054155
-1647.9183,2000,379.860165
-1720.3562,2000,389.591265
-1384.5674,2000,399.342265
-1596.3148,2000,409.072876
-1391.2217,2000,418.296907
-1640.1074,2000,427.983781
-1466.0929,2000,437.63856
-1622.7507,2000,447.368106
-1515.8726,2000,457.075154
-1685.5216,2000,467.084915
-1483.1162,2000,476.709299
-1553.6539,2000,486.677438
