#{"t_start": 1780401903.7623403, "env_id": "None"}
r,l,t
-257.03763,14,1.482117
-256.3848,9,1.519057
-102.91905,34,1.650126
-276.08765,14,1.693098
-256.26364,11,1.726315
-281.72702,10,1.759195
-276.52335,11,1.794267
-332.74634,16,1.849392
-271.89624,15,1.896123
-266.16232,13,1.93324
-265.1797,19,1.987251
-265.8183,14,2.027824
-255.60469,10,2.058753
-263.32675,19,2.115442
-260.2357,22,2.176206
-278.2557,16,2.229407
-277.8163,26,2.300806
-155.6826,11,2.330898
-257.34543,21,2.392186
-268.5208,22,2.453557
-262.7902,27,2.531928
-123.89029,25,2.600753
-280.03006,26,2.676487
-319.28867,21,2.758256
-327.23337,13,2.801513
-269.82956,23,2.86667
-279.45532,13,2.910496
-267.66983,34,3.008404
-283.54614,17,3.939985
-257.7886,14,3.984392
-278.69608,25,4.073714
-307.56284,14,4.129308
-307.1603,12,4.175912
-272.7448,19,4.258308
-260.93555,15,4.32098
-260.00607,18,4.428325
-256.1375,15,4.512144
-261.72806,17,4.581644
-261.24948,38,4.750899
-262.4749,17,4.816643
-322.9383,14,4.86738
-260.71494,28,4.96845
-257.00748,22,5.047109
-254.76799,14,5.09062
-262.52866,16,5.135158
-266.467,15,5.175339
-256.29926,10,5.203283
-257.11853,16,5.249999
-282.9521,17,5.299412
-264.93753,16,5.345217
-255.64882,6,5.360826
-297.45303,13,5.400545
-327.9887,27,5.477844
-257.7345,16,5.530052
-256.80164,18,5.582524
-257.4702,19,5.643655
-260.38318,17,5.694292
-280.0003,32,6.716313
-262.6269,19,6.787444
-256.85416,11,6.837364
-258.90112,26,6.946238
-264.6655,12,6.989675
-261.21005,8,7.014018
-258.19846,18,7.06566
-278.925,33,7.16206
-310.66144,28,7.259732
-256.02875,12,7.292679
-255.9159,12,7.329141
-267.6904,21,7.395921
-257.13107,13,7.434772
-323.85522,28,7.518697
-263.71255,19,7.576692
-266.95984,20,7.64467
-269.5284,21,7.708172
-266.41473,18,7.759568
-265.23776,17,7.808693
-268.0232,20,7.865253
-286.945,17,7.915671
-267.96304,17,7.975451
-277.27972,13,8.019395
-317.052,18,8.073153
-257.63574,17,8.12347
-256.32004,31,8.214195
-294.9521,24,9.210925
-256.2435,17,9.259126
-285.0611,17,9.310869
-265.63168,18,9.360428
-266.30807,12,9.398344
-328.21262,22,9.471435
-282.4003,38,9.581395
-303.69348,19,9.645633
-267.37604,26,9.722903
-256.49734,15,9.770972
-267.58984,19,9.827449
-285.04584,31,9.915077
-288.17148,17,9.965959
-257.97806,20,10.026442
-271.0367,24,10.103749
-257.25317,13,10.140399
-266.81985,16,10.187672
-313.46054,17,10.239951
-267.03442,15,10.28476
-153.01172,25,10.355651
-315.09918,29,10.436244
-272.0591,12,10.472809
-263.03046,27,10.548354
-257.2407,19,10.603171
-298.7928,14,10.647402
-256.0227,10,10.678904
-281.7011,15,10.725269
-255.91476,7,11.662576
-267.2025,23,11.739216
-297.3246,17,11.800716
-268.88104,17,11.853601
-283.43765,20,11.922047
-333.55807,16,11.97782
-266.16397,12,12.013592
-256.26227,11,12.049653
-268.85458,24,12.123015
-272.17593,16,12.168492
-279.77176,29,12.248647
-306.31024,23,12.318753
-266.4075,13,12.355268
-275.35605,16,12.406186
-261.163,13,12.441781
-265.29364,10,12.471051
-257.0306,16,12.51716
-266.00482,17,12.56474
-260.7797,21,12.629433
-265.9611,15,12.677967
-276.4773,30,12.764888
-307.8539,16,12.810554
-256.4784,13,12.850181
-258.78348,27,12.932657
-273.97974,14,12.97879
-266.17688,17,13.027518
-262.37476,11,13.061994
-294.45618,27,13.150271
-282.24945,19,13.220202
-276.65637,14,14.160588
-276.96838,16,14.205955
-277.5018,19,14.265466
-252.87096,24,14.334034
-306.75067,21,14.395007
-266.5823,18,14.446748
-287.895,23,14.509228
-269.3632,21,14.565608
-268.00583,27,14.640448
-266.91644,31,14.725564
-257.44247,12,14.758272
-257.0752,15,14.798482
-277.26556,17,14.849238
-277.69653,26,14.923109
-271.22562,11,14.961351
-357.87927,37,15.076829
-269.4915,28,15.168805
-278.35297,21,15.235421
-327.96332,16,15.283082
-268.14688,20,15.337863
-266.95032,12,15.372551
-282.73978,28,15.452336
-256.87476,12,15.488133
-296.95526,45,15.620773
-291.87317,20,16.579256
-276.9922,18,16.630394
-263.819,15,16.677536
-254.32974,15,16.729334
-257.59918,17,16.792131
-264.16693,20,16.859167
-318.58932,24,16.930528
-290.94507,12,16.969679
-307.4689,16,17.020269
-281.8367,13,17.062868
-268.30954,24,17.134656
-255.79752,10,17.170165
-256.68274,16,17.220412
-263.12347,16,17.271473
-257.46313,12,17.305726
-262.1699,14,17.351489
-317.56372,26,17.429988
-266.49875,11,17.468254
-259.9481,28,17.548392
-258.01642,18,17.601528
-256.36273,12,17.637962
-254.74017,19,17.691054
-281.64655,10,17.721943
-279.59827,29,17.811888
-293.32596,21,17.885102
-275.9783,11,17.920053
-256.88425,17,17.978441
-254.87279,15,18.028931
-260.1364,11,18.062392
-299.0425,29,19.014839
-260.42746,29,19.110002
-266.93918,13,19.149893
-279.7993,13,19.189519
-324.12476,29,19.267613
-267.19284,16,19.313701
-263.02026,11,19.346007
-275.1701,19,19.401934
-281.80017,26,19.476538
-277.71286,19,19.532579
-105.94963,16,19.574376
-335.34946,21,19.647856
-266.5338,18,19.696665
-261.60956,14,19.740428
-256.45645,28,19.818335
-266.08746,17,19.865489
-261.30573,15,19.90801
-261.17715,8,19.930678
-258.01266,19,19.982016
-267.47684,20,20.038179
-257.95535,17,20.088955
-291.669,13,20.128313
-131.91684,21,20.191401
-299.61887,21,20.260154
-261.75034,10,20.287883
-261.17056,10,20.316495
-271.8043,20,20.374866
-269.937,28,20.467188
-100.43496,16,20.510017
-272.90125,16,21.43989
-308.05487,17,21.493335
-266.2236,20,21.554166
-283.7151,18,21.604787
-275.2308,13,21.643837
-308.26526,21,21.700626
-272.60104,11,21.735112
-267.0499,14,21.772199
-266.64728,10,21.800937
-271.43744,9,21.834794
-257.70294,18,21.901577
-259.22165,25,21.973486
-255.875,16,22.023727
-292.82114,13,22.064353
-295.35553,15,22.125825
-159.3253,37,22.246863
-285.30872,28,22.336545
-259.45673,12,22.372353
-270.24597,23,22.439468
-251.36264,15,22.483286
-256.20627,10,22.511517
-328.47186,22,22.584599
-329.50073,24,22.660849
-263.0231,22,22.729707
-282.67282,13,22.772101
-263.979,26,22.838165
-294.14542,28,22.920533
-256.17014,9,22.947321
-258.2588,17,23.865206
-272.84253,14,23.905096
-256.46002,10,23.934866
-256.07602,13,23.974547
-310.0987,26,24.049729
-276.65082,19,24.102202
-262.78305,16,24.152446
-258.8617,18,24.207332
-262.29413,20,24.270712
-256.7644,12,24.307334
-260.7507,8,24.33092
-280.52325,14,24.376461
-256.1432,7,24.397931
-320.4819,27,24.47581
-267.8815,21,24.537233
-284.7551,21,24.597542
-277.5189,17,24.65179
-282.05872,13,24.69213
-279.95355,32,24.775285
-272.00812,17,24.831065
-306.7887,12,24.864895
-257.03217,18,24.912414
-256.88312,22,24.978947
-257.3965,15,25.021378
-275.97458,25,25.087737
-254.81786,13,25.124085
-266.008,7,25.142848
-298.52844,25,25.228501
-253.37477,16,25.271042
-277.26804,21,25.326216
-256.4226,23,26.289276
-257.39618,18,26.339346
-277.88446,22,26.404818
-267.66687,25,26.479831
-268.83798,22,26.540734
-153.89697,37,26.642122
-255.1602,11,26.672036
-265.53214,22,26.731371
-256.96103,12,26.765368
-322.02847,27,26.840142
-287.39426,18,26.895893
-267.853,15,26.948299
-277.2587,14,27.002922
-306.64127,12,27.043686
-330.44525,38,27.144558
-274.881,17,27.19352
-274.12506,22,27.26012
-276.74673,22,27.322522
-277.52615,16,27.380938
-281.74292,16,27.441374
-282.25937,16,27.491535
-149.03242,15,27.535381
-289.4679,19,27.598299
-263.03308,17,27.648974
-278.5206,23,27.715845
-273.3682,28,28.806151
-277.71396,14,28.859852
-158.4379,22,28.932216
-271.62357,11,28.971469
-294.42325,21,29.044303
-266.9385,14,29.088892
-271.66306,18,29.137663
-256.89648,12,29.175955
-268.40747,20,29.242711
-278.67056,16,29.296762
-265.79013,15,29.345829
-257.02008,16,29.392155
-290.03998,21,29.452359
-272.89212,14,29.493605
-255.84386,12,29.526814
-282.572,15,29.573187
-276.12643,11,29.609438
-264.7179,21,29.669145
-268.89136,24,29.738828
-257.52997,22,29.811987
-255.20007,16,29.86195
-262.26437,20,29.929187
-289.73584,19,29.994406
-257.3854,15,30.038701
-256.54114,18,30.087588
-276.52493,13,30.12858
-327.71957,16,30.171194
-257.2565,13,30.20785
-266.00812,17,30.256041
-282.19162,10,30.288647
-257.3064,16,30.331919
-290.13235,38,31.570724
-259.63074,32,31.683798
-286.7494,32,31.807021
-257.19113,14,31.851153
-268.16776,19,31.905056
-258.39633,24,31.967995
-257.5128,17,32.011946
-287.76678,19,32.069201
-300.7357,13,32.123555
-256.83102,12,32.170029
-309.416,23,32.239665
-279.32693,48,32.408591
-285.74896,25,32.480397
-203.27245,26,32.569078
-257.23438,15,32.616583
-331.49817,10,32.649342
-153.2539,26,32.720968
-287.25235,14,32.769764
-267.84814,15,32.818052
-284.38315,20,32.884308
-266.49326,13,32.926001
-282.8442,14,32.972119
-321.6543,30,33.058667
-256.40372,20,33.125243
-258.66504,18,34.278822
-284.98035,21,34.34525
-256.74344,13,34.386947
-277.456,21,34.451818
-256.05307,12,34.493952
-255.92314,13,34.534333
-258.42978,22,34.602898
-272.4486,23,34.683461
-298.07092,20,34.744455
-157.21832,17,34.800781
-256.85925,17,34.857451
-277.71912,17,34.915142
-259.1494,20,34.98444
-296.92862,31,35.074748
-270.36716,31,35.168116
-296.7145,15,35.226695
-118.69457,24,35.30531
-287.25006,25,35.413019
-271.68085,14,35.474586
-256.3319,21,35.535978
-259.28012,28,35.625317
-276.9444,14,35.670394
-267.72083,16,35.719712
-267.42627,18,35.773854
-314.33194,30,35.870397
-273.25397,24,36.99641
-316.97528,34,37.114602
-265.6268,17,37.167728
-265.50522,12,37.224717
-271.9702,16,37.295419
-271.66376,15,37.349385
-274.11584,22,37.444018
-266.54773,14,37.512238
-277.75735,22,37.60504
-267.35175,12,37.653395
-261.46207,27,37.745252
-334.35773,27,37.834736
-260.96533,16,37.886452
-278.391,17,37.937475
-256.79474,14,37.975744
-256.2532,10,38.003998
-293.6702,46,38.126894
-158.20508,23,38.187563
-332.04153,16,38.234499
-307.9061,12,38.267037
-270.57486,15,38.310141
-258.39157,18,38.36088
-288.36703,23,38.427957
-280.65335,15,38.474176
-267.10046,19,38.53582
-309.3241,24,38.6146
-258.45172,30,39.765204
-282.85492,18,39.829376
-261.56778,10,39.862606
-252.26007,25,39.939629
-152.0359,17,39.994364
-314.63492,29,40.113586
-290.50082,32,40.235594
-153.45789,34,40.333954
-325.4895,21,40.406196
-102.72412,17,40.461002
-269.00775,21,40.523036
-266.31384,14,40.56543
-272.65616,14,40.610936
-272.98163,17,40.661477
-266.59946,13,40.704383
-278.6244,28,40.790099
-257.12442,19,40.857592
-151.30035,15,40.906302
-327.01352,18,40.96841
-270.86252,29,41.062384
-328.0889,17,41.127107
-280.22037,25,41.200401
-275.7079,14,41.237484
-286.8391,14,41.284385
-321.41522,9,41.309312
-266.4016,10,41.337397
-272.75403,32,42.459896
-257.1023,16,42.537214
-299.05652,18,42.618544
-308.78918,16,42.685278
-280.32675,21,42.758834
-261.38318,11,42.798645
-255.71623,9,42.83177
-278.24338,20,42.897846
-270.14984,27,42.991759
-153.2417,27,43.077488
-260.82047,8,43.104092
-277.20395,14,43.147462
-303.80862,17,43.204991
-261.17487,11,43.240012
-283.8112,35,43.343043
-257.75998,23,43.413456
-158.24004,21,43.470657
-274.27036,25,43.542273
-270.64133,35,43.648414
-258.2847,13,43.688755
-287.45602,23,43.756261
-257.92874,20,43.819285
-278.125,24,43.889873
-278.05203,23,43.950438
-279.2123,27,44.036444
-307.8961,16,45.190536
-289.2519,29,45.294207
-281.21042,10,45.334135
-278.99362,18,45.402822
-267.89603,32,45.520982
-266.0665,27,45.60778
-256.51215,16,45.655781
-286.06165,33,45.76665
-320.22333,26,45.855351
-278.80426,21,45.921641
-292.40283,13,45.967569
-264.22363,18,46.036737
-254.56258,32,46.170443
-259.69995,19,46.236594
-292.31732,14,46.293835
-267.47485,12,46.332244
-255.66798,9,46.360827
-311.27795,17,46.422431
-271.9268,11,46.475815
-256.70895,17,46.57278
-48.96959,15,46.647297
-260.20157,30,46.818814
-270.85715,27,46.958211
-307.3733,16,47.039614
-269.4762,30,47.168941
-297.18076,13,47.221197
-262.7721,15,48.573732
-273.1578,14,48.631621
-258.78265,25,48.732227
-256.5428,15,48.783177
-288.30518,16,48.842098
-292.6527,45,48.989719
-255.09378,17,49.048882
-261.14798,8,49.074289
-283.31223,15,49.123227
-268.76978,24,49.19065
-203.7453,24,49.271768
-282.09467,15,49.331584
-302.86847,17,49.397979
-265.40872,28,49.49328
-307.73557,15,49.543813
-282.03467,24,49.626608
-269.09897,19,49.695982
-255.72461,6,49.716174
-283.94922,22,49.805982
-255.03807,7,49.836047
-297.70386,18,49.908471
-256.58768,21,49.978423
-296.87015,12,50.021607
-160.59837,29,50.119768
-275.78308,23,50.19901
-326.95938,14,50.248066
-297.63934,18,50.318891
-333.3259,44,51.762975
-273.10812,41,51.917742
-255.62904,7,51.94366
-287.20905,15,52.005032
-271.90253,14,52.062937
-307.95514,12,52.108869
-287.31256,32,52.231564
-277.91687,20,52.357469
-273.46375,19,52.441258
-271.12665,34,52.582714
-265.95316,15,52.639242
-297.21237,13,52.695068
-333.13742,38,52.823247
-255.94057,14,52.881009
-267.52148,16,52.941559
-288.05948,21,53.015348
-260.88333,11,53.050202
-266.76297,15,53.093939
-288.4143,21,53.160696
-293.59137,21,53.220749
-307.87494,17,53.278882
-284.11157,22,53.350514
-257.01147,14,53.396626
-284.88043,22,53.482964
-263.35645,15,53.538746
-262.15677,13,54.724059
-279.3444,23,54.82141
-262.58987,18,54.87487
-317.38675,17,54.933155
-273.62402,26,55.020055
-262.07574,18,55.085693
-210.90247,29,55.17382
-261.17776,13,55.21621
-266.73245,16,55.266511
-307.74808,18,55.325578
-256.02106,20,55.387468
-155.48691,32,55.48328
-270.19318,29,55.569649
-252.18687,20,55.633352
-257.51047,16,55.685438
-279.62225,22,55.756693
-266.2854,10,55.791348
-256.36475,17,55.852522
-265.22357,18,55.916478
-321.95712,34,56.032432
-266.45087,10,56.066843
-268.80618,31,56.162517
-271.27936,19,56.224149
-271.13727,27,56.315416
-259.2481,30,57.520609
-266.59387,20,57.596011
-269.18976,23,57.684929
-258.054,21,57.754472
-266.19757,17,57.808341
-336.0594,30,57.913689
-272.89484,15,57.984972
-268.9873,25,58.097557
-256.3209,14,58.14683
-256.48975,12,58.193487
-276.51566,26,58.283621
-261.3821,8,58.315807
-263.913,20,58.394225
-262.4337,16,58.453556
-268.40076,27,58.553948
-268.20712,26,58.64764
-315.2374,20,58.72092
-276.02222,30,58.824081
-151.22173,17,58.882587
-280.9596,40,59.020308
-256.13132,25,59.0989
-255.51482,23,59.169696
-268.00574,30,59.268751
-254.46265,17,59.334249
-259.23837,22,60.634847
-266.33173,14,60.691961
-259.58276,34,60.822749
-255.3097,14,60.873583
-258.57062,18,60.939753
-271.9202,14,60.997036
-274.54364,19,61.065754
-277.62772,28,61.173881
-269.29285,22,61.241458
-279.34546,31,61.34147
-211.50279,27,61.431488
-54.2184,27,61.518872
-287.20294,14,61.572587
-260.0174,36,61.702028
