#{"t_start": 1780392737.3778083, "env_id": "None"}
r,l,t
-164.9989,2000,8.726894
-175.49774,2000,16.853896
-138.5003,2000,25.038423
-146.99963,2000,34.466998
-174.18802,2000,43.54103
-181.99771,2000,60.84195
-146.18967,2000,88.153842
-155.99855,2000,113.648857
-216.49637,2000,122.529654
-172.18927,2000,131.366537
-152.6887,2000,140.707737
-204.18672,2000,150.32742
-192.68588,2000,159.716324
-174.18741,2000,168.785941
-141.50119,2000,177.860434
-165.4983,2000,186.91126
-165.68854,2000,196.00268
-130.69067,2000,205.094703
-181.99837,2000,214.499602
-169.49876,2000,223.720416
-156.49884,2000,232.823446
-148.5002,2000,241.016274
-145.0016,2000,250.327066
-168.9988,2000,259.40529
-137.38033,2000,268.450946
