#{"t_start": 1780441532.0330071, "env_id": "None"}
r,l,t
-261.0206,8,6.079172
-266.72223,12,6.247618
-251.0718,14,6.416465
-269.24503,23,6.650057
-304.68665,19,6.875726
-326.31027,14,7.081285
-281.5022,14,7.315232
-286.1198,19,7.534565
-254.083,24,7.80242
-288.31186,23,8.112871
-274.70862,23,8.414214
-266.98077,17,8.656738
-287.11258,9,8.789869
-251.46939,19,9.037435
-276.37762,16,9.249948
-283.0369,19,9.524407
-291.23343,14,9.717732
-255.42332,9,9.837616
-281.8712,17,10.071609
-256.26102,15,10.252896
-260.71237,20,10.485052
-258.36053,17,10.724002
-291.72916,18,10.968881
-288.29407,15,11.178536
-254.81094,10,11.283195
-262.25943,20,11.518564
-272.25885,22,11.832002
-291.6449,13,12.040433
-256.23575,10,12.184498
-261.33856,11,12.346302
-268.68903,19,12.593644
-264.29868,15,16.783646
-270.71375,9,16.915107
-260.04343,11,17.039882
-255.83403,13,17.231109
-255.8243,9,17.324495
-260.43463,27,17.666176
-261.17566,14,17.872445
-287.64246,16,18.111431
-293.24503,14,18.326746
-259.97873,21,18.599838
-257.10464,19,18.800677
-261.7079,11,18.914814
-338.3386,16,19.149585
-249.23174,13,19.310059
-296.72614,13,19.498843
-150.93437,12,19.657806
-257.93625,16,19.834928
-298.47958,25,20.137464
-302.2368,23,20.435717
-255.60484,12,20.581995
-280.79175,23,20.857836
-307.19196,14,21.041766
-268.01895,15,21.249177
-268.27924,18,21.496752
-271.0194,9,21.634213
-257.12225,13,21.806477
-251.41975,14,22.025239
-258.0697,15,22.233245
-153.05688,25,22.582256
-263.70938,29,23.010472
-252.40997,17,23.258952
-265.17386,15,23.434232
-246.00168,15,27.443658
-276.8967,17,27.67575
-262.8461,18,27.891892
-273.38693,19,28.132176
-271.57135,11,28.288316
-250.6885,19,28.567658
-261.35773,16,28.779161
-256.79483,14,28.989773
-319.26712,39,29.447731
-249.4784,13,29.605956
-256.99954,15,29.837361
-281.29398,10,29.994387
-260.53833,11,30.183888
-271.72684,11,30.346074
-255.57108,16,30.449323
-234.11635,22,30.5618
-272.0337,11,30.624021
-261.31064,12,30.680912
-252.26424,15,30.744868
-266.05032,16,30.809151
-261.78253,15,30.883136
-256.10416,10,30.930066
-252.27304,19,31.024112
-271.8817,15,31.09931
-306.8178,17,31.172666
-297.2093,16,31.24235
-265.79428,12,31.288807
-267.04745,18,31.362674
-317.3963,21,31.446258
-262.22452,14,31.499619
-256.09317,9,31.532871
-280.12253,15,31.599824
-270.34512,29,33.189359
-277.5845,22,33.264643
-260.4731,13,33.315732
-197.90025,24,33.404051
-303.96634,19,33.480706
-256.17703,13,33.530682
-278.3257,17,33.59351
-304.81516,24,33.681664
-271.698,15,33.740543
-250.88078,14,33.791233
-250.97238,13,33.838505
-263.74496,19,33.910044
-256.97568,17,33.979405
-280.2935,25,34.089397
-272.67752,23,34.188604
-241.96048,24,34.284697
-266.8531,10,34.326345
-272.24265,17,34.406092
-255.9022,10,34.445523
-312.67398,16,34.517791
-254.43492,22,34.611675
-272.93143,18,34.693211
-266.4848,17,34.763643
-278.65088,23,34.858297
-70.70592,28,34.966466
-265.6345,7,34.993661
-312.85767,16,35.068686
-250.5427,16,35.131255
-251.07889,10,35.1701
-255.29802,8,36.763705
-257.82468,24,36.861492
-262.6458,18,36.932148
-271.269,10,36.970749
-299.38483,17,37.041702
-307.7842,19,37.126449
-343.11905,13,37.188866
-267.2593,10,37.232066
-277.27908,20,37.317899
-276.6734,11,37.371145
-261.7347,20,37.452862
-323.38132,19,37.547055
-266.1687,18,37.631182
-145.9942,24,37.732909
-256.9632,14,37.800387
-278.86508,21,37.886334
-255.34044,8,37.921091
-260.6763,8,37.957321
-257.3262,15,38.018634
-257.8126,13,38.073971
-256.02795,14,38.136221
-256.0941,9,38.173237
-267.48563,17,38.240261
-263.9755,19,38.313855
-252.16887,18,38.381436
-263.8642,24,38.479598
-304.7454,21,38.578628
-257.21472,30,38.702203
-257.1087,22,38.791376
-283.2981,26,38.911164
-288.3598,21,40.56986
-261.70297,13,40.628822
-334.77063,25,40.772321
-257.82434,17,40.873249
-258.23627,17,40.957534
-255.69617,15,41.02486
-255.65048,12,41.083152
-293.0672,19,41.185823
-251.24084,14,41.266256
-262.33762,13,41.330976
-228.01146,41,41.537024
-268.0853,24,41.641811
-100.625984,33,41.78775
-286.71063,15,41.858876
-299.8196,27,41.962545
-312.55865,16,42.038176
-254.76112,35,42.183013
-306.7629,18,42.268465
-250.00745,27,42.377819
-271.08984,15,42.455525
-281.50787,18,42.550779
-286.92047,23,42.657496
-269.01547,26,42.772139
-270.1461,24,42.866279
-252.39699,16,44.527418
-251.14018,15,44.599013
-255.17789,7,44.627835
-115.893,16,44.6916
-258.2969,14,44.742091
-268.87045,23,44.828789
-276.43896,15,44.891799
-255.51279,12,44.939637
-252.0436,15,45.000381
-271.35703,13,45.046392
-279.75528,36,45.1753
-256.18857,10,45.210654
-257.47095,26,45.303424
-260.5737,39,45.446872
-258.36148,16,45.509654
-285.69928,23,45.601264
-304.79385,22,45.692651
-288.40552,21,45.784653
-249.7927,12,45.834306
-265.7718,14,45.904881
-272.63315,22,46.012748
-261.09457,8,46.047679
-308.04102,16,46.117958
-287.67975,14,46.191131
-254.86829,9,46.227746
-250.89539,19,46.307345
-231.82562,17,46.376096
-250.70152,13,46.425399
-310.64417,23,46.513464
-300.72366,26,48.223301
-272.66272,22,48.310388
-320.4308,32,48.4393
-290.18546,27,48.545512
-264.67242,15,48.603742
-272.24408,12,48.655913
-266.07233,12,48.704597
-291.01697,18,48.773752
-278.64795,25,48.868825
-272.05576,21,48.954036
-273.91248,23,49.054922
-265.2736,12,49.111364
-303.09396,23,49.218907
-262.82294,15,49.281424
-271.35913,12,49.340008
-275.22858,23,49.441939
-273.79742,21,49.539237
-253.61586,14,49.602676
-256.61838,20,49.689821
-259.70703,11,49.729238
-267.53012,19,49.800846
-313.8462,21,49.873391
-265.9019,19,49.947992
-268.30212,26,50.04814
-250.91525,12,50.103329
-282.94424,22,50.21469
-271.62042,12,50.273869
-276.4561,16,50.355123
-262.43536,21,52.27103
-265.7612,19,52.367906
-284.9361,25,52.496219
-279.40405,28,52.627045
-283.10825,19,52.722227
-271.63602,15,52.796459
-255.71674,13,52.856392
-268.57764,18,52.937672
-87.94565,27,53.053177
-257.11664,17,53.137437
-262.41937,13,53.205507
-256.55325,14,53.274619
-313.33978,16,53.35483
-307.75995,14,53.422357
-276.72104,13,53.486369
-288.8504,29,53.616784
-266.5453,17,53.697286
-289.36984,23,53.802219
-306.9679,14,53.868419
-266.989,15,53.942156
-258.01538,17,54.026259
-303.23804,23,54.14557
-259.21646,25,54.262698
-314.656,23,54.368101
-253.66212,14,54.435947
-258.33447,24,54.552005
-260.09198,20,56.602145
-262.02414,11,56.660711
-203.42456,22,56.792696
-311.9794,16,56.872449
-235.69832,17,56.945387
-278.0121,21,57.032393
-260.51282,24,57.14229
-269.18182,31,57.283728
-308.14798,31,57.4154
-266.48898,14,57.47678
-256.1313,10,57.527706
-277.23785,22,57.633255
-253.21472,17,57.711239
-256.06256,9,57.754643
-262.4921,26,57.8903
-271.32053,17,57.976956
-328.43167,25,58.090101
-278.69363,19,58.177988
-251.70897,18,58.250011
-266.4856,13,58.305154
-267.06458,15,58.373542
-273.80637,20,58.458327
-271.14575,25,58.560445
-269.6656,15,58.631542
-255.6166,13,58.692963
-261.89908,25,58.808699
-267.5128,15,58.870027
-269.74722,24,60.810828
-271.61273,12,60.890009
-262.17145,13,60.967607
-256.2651,13,61.039408
-257.294,10,61.090177
-256.22772,20,61.202694
-146.77649,27,61.322709
-305.28336,25,61.449357
-271.56042,15,61.536138
-281.68597,20,61.630407
-276.13916,39,61.79842
-273.37415,24,61.916105
-257.89847,20,62.007108
-276.92966,34,62.148624
-271.89215,21,62.242234
-262.74054,26,62.354635
-261.45712,13,62.416438
-291.74792,11,62.468131
-255.79881,7,62.497634
-257.0121,25,62.613843
-255.7936,13,62.676724
-266.46515,13,62.740831
-255.1175,14,62.806668
-240.66226,17,62.885564
-269.09238,22,62.995197
-93.54651,23,63.11963
-272.35538,19,63.237423
-271.9306,30,65.363611
-262.37424,13,65.427397
-261.32257,15,65.502627
-272.1306,11,65.560062
-264.97934,20,65.658674
-273.1557,17,65.750964
-281.7959,25,65.889822
-250.7772,16,65.968827
-364.7193,24,66.101526
-296.36725,13,66.179063
-250.7045,27,66.327259
-269.80212,24,66.438954
-271.2691,22,66.5495
-263.12598,35,66.739664
-256.70795,12,66.795784
-266.5965,14,66.868014
-262.57352,13,66.92699
-251.35307,13,66.986607
-271.54266,12,67.056857
-288.59277,21,67.160144
-312.4635,13,67.227225
-281.3639,16,67.307933
-250.5087,11,67.358695
-272.80884,17,67.443039
-267.00784,13,67.50226
-276.58313,11,67.55983
-261.93912,13,67.624868
-277.85132,13,67.69012
-301.15463,21,67.804015
-281.4909,13,67.887269
-306.95526,22,69.932479
-253.13492,17,70.012558
-290.12695,20,70.10275
-252.04532,15,70.171646
-270.73642,17,70.25686
-317.0099,10,70.3002
-253.23677,24,70.398381
-315.65027,24,70.508233
-262.34094,22,70.597483
-287.10797,15,70.669383
-252.79953,23,70.768422
-282.37067,12,70.831335
-257.51865,15,70.900789
-281.35977,25,71.008603
-255.768,9,71.048956
-256.02432,9,71.111458
-328.5391,21,71.278312
-266.64066,13,71.364019
-316.87405,18,71.492373
-272.13446,18,71.613201
-273.68964,20,71.791738
-332.12057,13,71.884653
-266.01266,15,71.973175
-288.67993,31,72.134941
-257.2074,19,72.235213
-268.19147,19,72.32102
-256.7644,12,72.388363
-258.8753,24,72.514297
-262.9391,27,74.80843
-257.1276,11,74.882972
-271.1407,11,74.950563
-256.6391,11,75.017463
-267.89706,20,75.113923
-322.98605,18,75.204241
-318.137,18,75.306419
-255.89796,13,75.378196
-277.23785,14,75.438111
-296.9325,15,75.506575
-266.41876,16,75.583953
-307.58746,34,75.738832
-308.18027,30,75.869282
-275.43338,28,75.996946
-267.95602,17,76.101651
-271.14816,26,76.263728
-255.85007,10,76.335633
-291.75327,14,76.435014
-292.83475,28,76.623061
-262.36597,24,76.726724
-282.15836,15,76.795826
-281.70126,18,76.882666
-306.64465,15,76.944267
-260.30978,25,77.05033
-267.56635,16,77.122013
-262.61444,20,77.217853
-308.84244,22,77.311177
-256.38568,14,79.462875
-272.38162,28,79.637313
-259.76724,32,79.83541
-272.5816,17,79.9392
-268.22528,21,80.071981
-283.4754,20,80.216172
-261.04694,13,80.275876
-313.64862,15,80.353201
-232.67468,26,80.464797
-265.36636,30,80.592195
-99.7474,12,80.645798
-267.01337,28,80.758495
-248.14003,25,80.876465
-287.19232,31,81.022782
-279.02133,28,81.153629
-317.75778,21,81.261313
-160.04846,20,81.353356
-248.53233,26,81.468881
-250.75455,18,81.552271
-267.30325,19,81.644484
-275.87033,8,81.683989
-252.81512,19,81.773588
-252.54951,24,81.881192
-276.90665,25,81.991793
-348.40417,20,84.056121
-312.49988,19,84.183058
-267.79715,20,84.293339
-265.12515,19,84.39593
-246.64648,31,84.540642
-311.848,13,84.613414
-336.9811,12,84.677734
-272.7853,22,84.786716
-255.50713,14,84.860723
-276.83908,16,84.938697
-315.1317,23,85.066628
-272.15964,36,85.248592
-281.24625,12,85.315386
-287.28668,23,85.430214
-254.1459,35,85.622446
-277.07138,28,85.76939
-337.4667,14,85.839577
-292.29498,13,85.897445
-308.4047,17,85.968914
-259.03287,26,86.094483
